A,P,sigma,kappa,I_kA,B_T,mark
0.0273684210526315,0.18947,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.27895,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.36842,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.45789,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.54737,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.63684,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.72632,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.81579,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.90526,0.18,1.95,300.0,0.7,0
0.0273684210526315,0.99474,0.18,1.95,300.0,0.7,0
0.0273684210526315,1.08421,0.18,1.95,300.0,0.7,0
0.0273684210526315,1.17368,0.18,1.95,300.0,0.7,0
0.0273684210526315,1.26316,0.18,1.95,300.0,0.7,1
0.0273684210526315,1.35263,0.18,1.95,300.0,0.7,1
0.0273684210526315,1.44211,0.18,1.95,300.0,0.7,1
0.0273684210526315,1.53158,0.18,1.95,300.0,0.7,1
0.0273684210526315,1.62105,0.18,1.95,300.0,0.7,1
0.0273684210526315,1.71053,0.18,1.95,300.0,0.7,1
0.0273684210526315,1.8,0.18,1.95,300.0,0.7,1
0.0331578947368421,0.1,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.18947,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.27895,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.36842,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.45789,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.54737,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.63684,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.72632,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.81579,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.90526,0.18,1.95,300.0,0.7,0
0.0331578947368421,0.99474,0.18,1.95,300.0,0.7,0
0.0331578947368421,1.08421,0.18,1.95,300.0,0.7,0
0.0331578947368421,1.17368,0.18,1.95,300.0,0.7,0
0.0331578947368421,1.26316,0.18,1.95,300.0,0.7,1
0.0331578947368421,1.35263,0.18,1.95,300.0,0.7,1
0.0331578947368421,1.44211,0.18,1.95,300.0,0.7,1
0.0331578947368421,1.53158,0.18,1.95,300.0,0.7,1
0.0331578947368421,1.62105,0.18,1.95,300.0,0.7,1
0.0331578947368421,1.71053,0.18,1.95,300.0,0.7,1
0.0331578947368421,1.8,0.18,1.95,300.0,0.7,1
0.0389473684210526,0.1,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.18947,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.27895,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.36842,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.45789,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.54737,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.63684,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.72632,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.81579,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.90526,0.18,1.95,300.0,0.7,0
0.0389473684210526,0.99474,0.18,1.95,300.0,0.7,0
0.0389473684210526,1.08421,0.18,1.95,300.0,0.7,0
0.0389473684210526,1.17368,0.18,1.95,300.0,0.7,0
0.0389473684210526,1.26316,0.18,1.95,300.0,0.7,0
0.0389473684210526,1.35263,0.18,1.95,300.0,0.7,1
0.0389473684210526,1.44211,0.18,1.95,300.0,0.7,1
0.0389473684210526,1.53158,0.18,1.95,300.0,0.7,1
0.0389473684210526,1.62105,0.18,1.95,300.0,0.7,1
0.0389473684210526,1.71053,0.18,1.95,300.0,0.7,1
0.0389473684210526,1.8,0.18,1.95,300.0,0.7,1
0.0447368421052631,0.1,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.18947,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.27895,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.36842,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.45789,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.54737,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.63684,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.72632,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.81579,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.90526,0.18,1.95,300.0,0.7,0
0.0447368421052631,0.99474,0.18,1.95,300.0,0.7,0
0.0447368421052631,1.08421,0.18,1.95,300.0,0.7,0
0.0447368421052631,1.17368,0.18,1.95,300.0,0.7,0
0.0447368421052631,1.26316,0.18,1.95,300.0,0.7,0
0.0447368421052631,1.35263,0.18,1.95,300.0,0.7,1
0.0447368421052631,1.44211,0.18,1.95,300.0,0.7,1
0.0447368421052631,1.53158,0.18,1.95,300.0,0.7,1
0.0447368421052631,1.62105,0.18,1.95,300.0,0.7,1
0.0447368421052631,1.71053,0.18,1.95,300.0,0.7,1
0.0447368421052631,1.8,0.18,1.95,300.0,0.7,1
0.0505263157894736,0.1,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.18947,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.27895,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.36842,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.45789,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.54737,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.63684,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.72632,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.81579,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.90526,0.18,1.95,300.0,0.7,0
0.0505263157894736,0.99474,0.18,1.95,300.0,0.7,0
0.0505263157894736,1.08421,0.18,1.95,300.0,0.7,0
0.0505263157894736,1.17368,0.18,1.95,300.0,0.7,0
0.0505263157894736,1.26316,0.18,1.95,300.0,0.7,0
0.0505263157894736,1.35263,0.18,1.95,300.0,0.7,1
0.0505263157894736,1.44211,0.18,1.95,300.0,0.7,1
0.0505263157894736,1.53158,0.18,1.95,300.0,0.7,1
0.0505263157894736,1.62105,0.18,1.95,300.0,0.7,1
0.0505263157894736,1.71053,0.18,1.95,300.0,0.7,1
0.0505263157894736,1.8,0.18,1.95,300.0,0.7,1
0.0563157894736842,0.1,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.18947,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.27895,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.36842,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.45789,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.54737,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.63684,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.72632,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.81579,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.90526,0.18,1.95,300.0,0.7,0
0.0563157894736842,0.99474,0.18,1.95,300.0,0.7,0
0.0563157894736842,1.08421,0.18,1.95,300.0,0.7,0
0.0563157894736842,1.17368,0.18,1.95,300.0,0.7,0
0.0563157894736842,1.26316,0.18,1.95,300.0,0.7,0
0.0563157894736842,1.35263,0.18,1.95,300.0,0.7,0
0.0563157894736842,1.44211,0.18,1.95,300.0,0.7,1
0.0563157894736842,1.53158,0.18,1.95,300.0,0.7,1
0.0563157894736842,1.62105,0.18,1.95,300.0,0.7,1
0.0563157894736842,1.71053,0.18,1.95,300.0,0.7,1
0.0563157894736842,1.8,0.18,1.95,300.0,0.7,1
