A,P,sigma,kappa,I_kA,B_T,mark
0.06710328537685205,3.31053,0.35,1.83,400.0,0.8,0
0.06710328537685205,3.58421,0.35,1.83,400.0,0.8,0
0.06710328537685205,3.85789,0.35,1.83,400.0,0.8,0
0.06710328537685205,4.13158,0.35,1.83,400.0,0.8,0
0.06710328537685205,4.40526,0.35,1.83,400.0,0.8,0
0.06710328537685205,4.67895,0.35,1.83,400.0,0.8,1
0.06710328537685205,4.95263,0.35,1.83,400.0,0.8,1
0.06710328537685205,5.22632,0.35,1.83,400.0,0.8,1
0.06710328537685205,5.5,0.35,1.83,400.0,0.8,1
0.07262375087148501,0.3,0.35,1.83,400.0,0.8,0
0.07262375087148501,0.57368,0.35,1.83,400.0,0.8,0
0.07262375087148501,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.07262375087148501,1.12105,0.35,1.83,400.0,0.8,0
0.07262375087148501,1.39474,0.35,1.83,400.0,0.8,0
0.07262375087148501,1.66842,0.35,1.83,400.0,0.8,0
0.07262375087148501,1.94211,0.35,1.83,400.0,0.8,0
0.07262375087148501,2.21579,0.35,1.83,400.0,0.8,0
0.07262375087148501,2.48947,0.35,1.83,400.0,0.8,0
0.07262375087148501,2.76316,0.35,1.83,400.0,0.8,0
0.07262375087148501,3.03684,0.35,1.83,400.0,0.8,0
0.07262375087148501,3.31053,0.35,1.83,400.0,0.8,0
0.07262375087148501,3.58421,0.35,1.83,400.0,0.8,0
0.07262375087148501,3.85789,0.35,1.83,400.0,0.8,0
0.07262375087148501,4.13158,0.35,1.83,400.0,0.8,0
0.07262375087148501,4.40526,0.35,1.83,400.0,0.8,0
0.07262375087148501,4.67895,0.35,1.83,400.0,0.8,1
0.07262375087148501,4.95263,0.35,1.83,400.0,0.8,1
0.07262375087148501,5.22632,0.35,1.83,400.0,0.8,1
0.07262375087148501,5.5,0.35,1.83,400.0,0.8,1
0.07816408204102052,0.3,0.35,1.83,400.0,0.8,0
0.07816408204102052,0.57368,0.35,1.83,400.0,0.8,0
0.07816408204102052,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.07816408204102052,1.12105,0.35,1.83,400.0,0.8,0
0.07816408204102052,1.39474,0.35,1.83,400.0,0.8,0
0.07816408204102052,1.66842,0.35,1.83,400.0,0.8,0
0.07816408204102052,1.94211,0.35,1.83,400.0,0.8,0
0.07816408204102052,2.21579,0.35,1.83,400.0,0.8,0
0.07816408204102052,2.48947,0.35,1.83,400.0,0.8,0
0.07816408204102052,2.76316,0.35,1.83,400.0,0.8,0
0.07816408204102052,3.03684,0.35,1.83,400.0,0.8,0
0.07816408204102052,3.31053,0.35,1.83,400.0,0.8,0
0.07816408204102052,3.58421,0.35,1.83,400.0,0.8,0
0.07816408204102052,3.85789,0.35,1.83,400.0,0.8,0
0.07816408204102052,4.13158,0.35,1.83,400.0,0.8,0
0.07816408204102052,4.40526,0.35,1.83,400.0,0.8,0
0.07816408204102052,4.67895,0.35,1.83,400.0,0.8,1
0.07816408204102052,4.95263,0.35,1.83,400.0,0.8,1
0.07816408204102052,5.22632,0.35,1.83,400.0,0.8,1
0.07816408204102052,5.5,0.35,1.83,400.0,0.8,1
0.08369041242635245,0.3,0.35,1.83,400.0,0.8,0
0.08369041242635245,0.57368,0.35,1.83,400.0,0.8,0
0.08369041242635245,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.08369041242635245,1.12105,0.35,1.83,400.0,0.8,0
0.08369041242635245,1.39474,0.35,1.83,400.0,0.8,0
0.08369041242635245,1.66842,0.35,1.83,400.0,0.8,0
0.08369041242635245,1.94211,0.35,1.83,400.0,0.8,0
0.08369041242635245,2.21579,0.35,1.83,400.0,0.8,0
0.08369041242635245,2.48947,0.35,1.83,400.0,0.8,0
0.08369041242635245,2.76316,0.35,1.83,400.0,0.8,0
0.08369041242635245,3.03684,0.35,1.83,400.0,0.8,0
0.08369041242635245,3.31053,0.35,1.83,400.0,0.8,0
0.08369041242635245,3.58421,0.35,1.83,400.0,0.8,0
0.08369041242635245,3.85789,0.35,1.83,400.0,0.8,0
0.08369041242635245,4.13158,0.35,1.83,400.0,0.8,0
0.08369041242635245,4.40526,0.35,1.83,400.0,0.8,0
0.08369041242635245,4.67895,0.35,1.83,400.0,0.8,1
0.08369041242635245,4.95263,0.35,1.83,400.0,0.8,1
0.08369041242635245,5.22632,0.35,1.83,400.0,0.8,1
0.08369041242635245,5.5,0.35,1.83,400.0,0.8,1
0.08920924921495861,0.3,0.35,1.83,400.0,0.8,0
0.08920924921495861,0.57368,0.35,1.83,400.0,0.8,0
0.08920924921495861,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.08920924921495861,1.12105,0.35,1.83,400.0,0.8,0
0.08920924921495861,1.39474,0.35,1.83,400.0,0.8,0
0.08920924921495861,1.66842,0.35,1.83,400.0,0.8,0
0.08920924921495861,1.94211,0.35,1.83,400.0,0.8,0
0.08920924921495861,2.21579,0.35,1.83,400.0,0.8,0
0.08920924921495861,2.48947,0.35,1.83,400.0,0.8,0
0.08920924921495861,2.76316,0.35,1.83,400.0,0.8,0
0.08920924921495861,3.03684,0.35,1.83,400.0,0.8,0
0.08920924921495861,3.31053,0.35,1.83,400.0,0.8,0
0.08920924921495861,3.58421,0.35,1.83,400.0,0.8,0
0.08920924921495861,3.85789,0.35,1.83,400.0,0.8,0
0.08920924921495861,4.13158,0.35,1.83,400.0,0.8,0
0.08920924921495861,4.40526,0.35,1.83,400.0,0.8,0
0.08920924921495861,4.67895,0.35,1.83,400.0,0.8,1
0.08920924921495861,4.95263,0.35,1.83,400.0,0.8,1
0.08920924921495861,5.22632,0.35,1.83,400.0,0.8,1
0.08920924921495861,5.5,0.35,1.83,400.0,0.8,1
0.09472567444680208,0.3,0.35,1.83,400.0,0.8,0
0.09472567444680208,0.57368,0.35,1.83,400.0,0.8,0
0.09472567444680208,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.09472567444680208,1.12105,0.35,1.83,400.0,0.8,0
0.09472567444680208,1.39474,0.35,1.83,400.0,0.8,0
0.09472567444680208,1.66842,0.35,1.83,400.0,0.8,0
0.09472567444680208,1.94211,0.35,1.83,400.0,0.8,0
0.09472567444680208,2.21579,0.35,1.83,400.0,0.8,0
0.09472567444680208,2.48947,0.35,1.83,400.0,0.8,0
0.09472567444680208,2.76316,0.35,1.83,400.0,0.8,0
0.09472567444680208,3.03684,0.35,1.83,400.0,0.8,0
0.09472567444680208,3.31053,0.35,1.83,400.0,0.8,0
0.09472567444680208,3.58421,0.35,1.83,400.0,0.8,0
0.09472567444680208,3.85789,0.35,1.83,400.0,0.8,0
0.09472567444680208,4.13158,0.35,1.83,400.0,0.8,0
0.09472567444680208,4.40526,0.35,1.83,400.0,0.8,0
0.09472567444680208,4.67895,0.35,1.83,400.0,0.8,1
0.09472567444680208,4.95263,0.35,1.83,400.0,0.8,1
0.09472567444680208,5.22632,0.35,1.83,400.0,0.8,1
0.09472567444680208,5.5,0.35,1.83,400.0,0.8,1
0.1002566570420276,0.3,0.35,1.83,400.0,0.8,0
0.1002566570420276,0.57368,0.35,1.83,400.0,0.8,0
0.1002566570420276,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.1002566570420276,1.12105,0.35,1.83,400.0,0.8,0
0.1002566570420276,1.39474,0.35,1.83,400.0,0.8,0
0.1002566570420276,1.66842,0.35,1.83,400.0,0.8,0
0.1002566570420276,1.94211,0.35,1.83,400.0,0.8,0
0.1002566570420276,2.21579,0.35,1.83,400.0,0.8,0
0.1002566570420276,2.48947,0.35,1.83,400.0,0.8,0
0.1002566570420276,2.76316,0.35,1.83,400.0,0.8,0
0.1002566570420276,3.03684,0.35,1.83,400.0,0.8,0
0.1002566570420276,3.31053,0.35,1.83,400.0,0.8,0
0.1002566570420276,3.58421,0.35,1.83,400.0,0.8,0
0.1002566570420276,3.85789,0.35,1.83,400.0,0.8,0
0.1002566570420276,4.13158,0.35,1.83,400.0,0.8,0
0.1002566570420276,4.40526,0.35,1.83,400.0,0.8,0
0.1002566570420276,4.67895,0.35,1.83,400.0,0.8,1
0.1002566570420276,4.95263,0.35,1.83,400.0,0.8,1
0.1002566570420276,5.22632,0.35,1.83,400.0,0.8,1
0.1002566570420276,5.5,0.35,1.83,400.0,0.8,1
0.10578876100203113,0.3,0.35,1.83,400.0,0.8,0
0.10578876100203113,0.57368,0.35,1.83,400.0,0.8,0
0.10578876100203113,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.10578876100203113,1.12105,0.35,1.83,400.0,0.8,0
0.10578876100203113,1.39474,0.35,1.83,400.0,0.8,0
0.10578876100203113,1.66842,0.35,1.83,400.0,0.8,0
0.10578876100203113,1.94211,0.35,1.83,400.0,0.8,0
0.10578876100203113,2.21579,0.35,1.83,400.0,0.8,0
0.10578876100203113,2.48947,0.35,1.83,400.0,0.8,0
0.10578876100203113,2.76316,0.35,1.83,400.0,0.8,0
0.10578876100203113,3.03684,0.35,1.83,400.0,0.8,0
0.10578876100203113,3.31053,0.35,1.83,400.0,0.8,0
0.10578876100203113,3.58421,0.35,1.83,400.0,0.8,0
0.10578876100203113,3.85789,0.35,1.83,400.0,0.8,0
0.10578876100203113,4.13158,0.35,1.83,400.0,0.8,0
0.10578876100203113,4.40526,0.35,1.83,400.0,0.8,0
0.10578876100203113,4.67895,0.35,1.83,400.0,0.8,0
0.10578876100203113,4.95263,0.35,1.83,400.0,0.8,1
0.10578876100203113,5.22632,0.35,1.83,400.0,0.8,1
0.10578876100203113,5.5,0.35,1.83,400.0,0.8,1
0.11132882080513001,0.3,0.35,1.83,400.0,0.8,0
0.11132882080513001,0.57368,0.35,1.83,400.0,0.8,0
0.11132882080513001,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.11132882080513001,1.12105,0.35,1.83,400.0,0.8,0
0.11132882080513001,1.39474,0.35,1.83,400.0,0.8,0
0.11132882080513001,1.66842,0.35,1.83,400.0,0.8,0
0.11132882080513001,1.94211,0.35,1.83,400.0,0.8,0
0.11132882080513001,2.21579,0.35,1.83,400.0,0.8,0
0.11132882080513001,2.48947,0.35,1.83,400.0,0.8,0
0.11132882080513001,2.76316,0.35,1.83,400.0,0.8,0
0.11132882080513001,3.03684,0.35,1.83,400.0,0.8,0
0.11132882080513001,3.31053,0.35,1.83,400.0,0.8,0
0.11132882080513001,3.58421,0.35,1.83,400.0,0.8,0
0.11132882080513001,3.85789,0.35,1.83,400.0,0.8,0
0.11132882080513001,4.13158,0.35,1.83,400.0,0.8,0
0.11132882080513001,4.40526,0.35,1.83,400.0,0.8,0
0.11132882080513001,4.67895,0.35,1.83,400.0,0.8,0
0.11132882080513001,4.95263,0.35,1.83,400.0,0.8,1
0.11132882080513001,5.22632,0.35,1.83,400.0,0.8,1
0.11132882080513001,5.5,0.35,1.83,400.0,0.8,1
0.11682242990654206,0.3,0.35,1.83,400.0,0.8,0
0.11682242990654206,0.57368,0.35,1.83,400.0,0.8,0
0.11682242990654206,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.11682242990654206,1.12105,0.35,1.83,400.0,0.8,0
0.11682242990654206,1.39474,0.35,1.83,400.0,0.8,0
0.11682242990654206,1.66842,0.35,1.83,400.0,0.8,0
0.11682242990654206,1.94211,0.35,1.83,400.0,0.8,0
0.11682242990654206,2.21579,0.35,1.83,400.0,0.8,0
0.11682242990654206,2.48947,0.35,1.83,400.0,0.8,0
0.11682242990654206,2.76316,0.35,1.83,400.0,0.8,0
0.11682242990654206,3.03684,0.35,1.83,400.0,0.8,0
0.11682242990654206,3.31053,0.35,1.83,400.0,0.8,0
0.11682242990654206,3.58421,0.35,1.83,400.0,0.8,0
0.11682242990654206,3.85789,0.35,1.83,400.0,0.8,0
0.11682242990654206,4.13158,0.35,1.83,400.0,0.8,0
0.11682242990654206,4.40526,0.35,1.83,400.0,0.8,0
0.11682242990654206,4.67895,0.35,1.83,400.0,0.8,0
0.11682242990654206,4.95263,0.35,1.83,400.0,0.8,1
0.11682242990654206,5.22632,0.35,1.83,400.0,0.8,1
0.11682242990654206,5.5,0.35,1.83,400.0,0.8,1
0.12235708692247456,0.3,0.35,1.83,400.0,0.8,0
0.12235708692247456,0.57368,0.35,1.83,400.0,0.8,0
0.12235708692247456,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.12235708692247456,1.12105,0.35,1.83,400.0,0.8,0
0.12235708692247456,1.39474,0.35,1.83,400.0,0.8,0
0.12235708692247456,1.66842,0.35,1.83,400.0,0.8,0
0.12235708692247456,1.94211,0.35,1.83,400.0,0.8,0
0.12235708692247456,2.21579,0.35,1.83,400.0,0.8,0
0.12235708692247456,2.48947,0.35,1.83,400.0,0.8,0
0.12235708692247456,2.76316,0.35,1.83,400.0,0.8,0
0.12235708692247456,3.03684,0.35,1.83,400.0,0.8,0
0.12235708692247456,3.31053,0.35,1.83,400.0,0.8,0
0.12235708692247456,3.58421,0.35,1.83,400.0,0.8,0
0.12235708692247456,3.85789,0.35,1.83,400.0,0.8,0
0.12235708692247456,4.13158,0.35,1.83,400.0,0.8,0
0.12235708692247456,4.40526,0.35,1.83,400.0,0.8,0
0.12235708692247456,4.67895,0.35,1.83,400.0,0.8,0
0.12235708692247456,4.95263,0.35,1.83,400.0,0.8,0
0.12235708692247456,5.22632,0.35,1.83,400.0,0.8,1
0.12235708692247456,5.5,0.35,1.83,400.0,0.8,1
0.1279164961113385,0.3,0.35,1.83,400.0,0.8,0
0.1279164961113385,0.57368,0.35,1.83,400.0,0.8,0
0.1279164961113385,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.1279164961113385,1.12105,0.35,1.83,400.0,0.8,0
0.1279164961113385,1.39474,0.35,1.83,400.0,0.8,0
0.1279164961113385,1.66842,0.35,1.83,400.0,0.8,0
0.1279164961113385,1.94211,0.35,1.83,400.0,0.8,0
0.1279164961113385,2.21579,0.35,1.83,400.0,0.8,0
0.1279164961113385,2.48947,0.35,1.83,400.0,0.8,0
0.1279164961113385,2.76316,0.35,1.83,400.0,0.8,0
0.1279164961113385,3.03684,0.35,1.83,400.0,0.8,0
0.1279164961113385,3.31053,0.35,1.83,400.0,0.8,0
0.1279164961113385,3.58421,0.35,1.83,400.0,0.8,0
0.1279164961113385,3.85789,0.35,1.83,400.0,0.8,0
0.1279164961113385,4.13158,0.35,1.83,400.0,0.8,0
0.1279164961113385,4.40526,0.35,1.83,400.0,0.8,0
0.1279164961113385,4.67895,0.35,1.83,400.0,0.8,0
0.1279164961113385,4.95263,0.35,1.83,400.0,0.8,0
0.1279164961113385,5.22632,0.35,1.83,400.0,0.8,1
0.1279164961113385,5.5,0.35,1.83,400.0,0.8,1
0.1334329632792485,0.3,0.35,1.83,400.0,0.8,0
0.1334329632792485,0.57368,0.35,1.83,400.0,0.8,0
0.1334329632792485,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.1334329632792485,1.12105,0.35,1.83,400.0,0.8,0
0.1334329632792485,1.39474,0.35,1.83,400.0,0.8,0
0.1334329632792485,1.66842,0.35,1.83,400.0,0.8,0
0.1334329632792485,1.94211,0.35,1.83,400.0,0.8,0
0.1334329632792485,2.21579,0.35,1.83,400.0,0.8,0
0.1334329632792485,2.48947,0.35,1.83,400.0,0.8,0
0.1334329632792485,2.76316,0.35,1.83,400.0,0.8,0
0.1334329632792485,3.03684,0.35,1.83,400.0,0.8,0
0.1334329632792485,3.31053,0.35,1.83,400.0,0.8,0
0.1334329632792485,3.58421,0.35,1.83,400.0,0.8,0
0.1334329632792485,3.85789,0.35,1.83,400.0,0.8,0
0.1334329632792485,4.13158,0.35,1.83,400.0,0.8,0
0.1334329632792485,4.40526,0.35,1.83,400.0,0.8,0
0.1334329632792485,4.67895,0.35,1.83,400.0,0.8,0
0.1334329632792485,4.95263,0.35,1.83,400.0,0.8,0
0.1334329632792485,5.22632,0.35,1.83,400.0,0.8,0
0.1334329632792485,5.5,0.35,1.83,400.0,0.8,1
0.13895064473099156,0.3,0.35,1.83,400.0,0.8,0
0.13895064473099156,0.57368,0.35,1.83,400.0,0.8,0
0.13895064473099156,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.13895064473099156,1.12105,0.35,1.83,400.0,0.8,0
0.13895064473099156,1.39474,0.35,1.83,400.0,0.8,0
0.13895064473099156,1.66842,0.35,1.83,400.0,0.8,0
0.13895064473099156,1.94211,0.35,1.83,400.0,0.8,0
0.13895064473099156,2.21579,0.35,1.83,400.0,0.8,0
0.13895064473099156,2.48947,0.35,1.83,400.0,0.8,0
0.13895064473099156,2.76316,0.35,1.83,400.0,0.8,0
0.13895064473099156,3.03684,0.35,1.83,400.0,0.8,0
0.13895064473099156,3.31053,0.35,1.83,400.0,0.8,0
0.13895064473099156,3.58421,0.35,1.83,400.0,0.8,0
0.13895064473099156,3.85789,0.35,1.83,400.0,0.8,0
0.13895064473099156,4.13158,0.35,1.83,400.0,0.8,0
0.13895064473099156,4.40526,0.35,1.83,400.0,0.8,0
0.13895064473099156,4.67895,0.35,1.83,400.0,0.8,0
0.13895064473099156,4.95263,0.35,1.83,400.0,0.8,0
0.13895064473099156,5.22632,0.35,1.83,400.0,0.8,0
0.13895064473099156,5.5,0.35,1.83,400.0,0.8,1
0.1444752658344891,0.3,0.35,1.83,400.0,0.8,0
0.1444752658344891,0.57368,0.35,1.83,400.0,0.8,0
0.1444752658344891,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.1444752658344891,1.12105,0.35,1.83,400.0,0.8,0
0.1444752658344891,1.39474,0.35,1.83,400.0,0.8,0
0.1444752658344891,1.66842,0.35,1.83,400.0,0.8,0
0.1444752658344891,1.94211,0.35,1.83,400.0,0.8,0
0.1444752658344891,2.21579,0.35,1.83,400.0,0.8,0
0.1444752658344891,2.48947,0.35,1.83,400.0,0.8,0
0.1444752658344891,2.76316,0.35,1.83,400.0,0.8,0
0.1444752658344891,3.03684,0.35,1.83,400.0,0.8,0
0.1444752658344891,3.31053,0.35,1.83,400.0,0.8,0
0.1444752658344891,3.58421,0.35,1.83,400.0,0.8,0
0.1444752658344891,3.85789,0.35,1.83,400.0,0.8,0
0.1444752658344891,4.13158,0.35,1.83,400.0,0.8,0
0.1444752658344891,4.40526,0.35,1.83,400.0,0.8,0
0.1444752658344891,4.67895,0.35,1.83,400.0,0.8,0
0.1444752658344891,4.95263,0.35,1.83,400.0,0.8,0
0.1444752658344891,5.22632,0.35,1.83,400.0,0.8,0
0.1444752658344891,5.5,0.35,1.83,400.0,0.8,0
0.15002400384061448,0.3,0.35,1.83,400.0,0.8,0
0.15002400384061448,0.57368,0.35,1.83,400.0,0.8,0
0.15002400384061448,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.15002400384061448,1.12105,0.35,1.83,400.0,0.8,0
0.15002400384061448,1.39474,0.35,1.83,400.0,0.8,0
0.15002400384061448,1.66842,0.35,1.83,400.0,0.8,0
0.15002400384061448,1.94211,0.35,1.83,400.0,0.8,0
0.15002400384061448,2.21579,0.35,1.83,400.0,0.8,0
0.15002400384061448,2.48947,0.35,1.83,400.0,0.8,0
0.15002400384061448,2.76316,0.35,1.83,400.0,0.8,0
0.15002400384061448,3.03684,0.35,1.83,400.0,0.8,0
0.15002400384061448,3.31053,0.35,1.83,400.0,0.8,0
0.15002400384061448,3.58421,0.35,1.83,400.0,0.8,0
0.15002400384061448,3.85789,0.35,1.83,400.0,0.8,0
0.15002400384061448,4.13158,0.35,1.83,400.0,0.8,0
0.15002400384061448,4.40526,0.35,1.83,400.0,0.8,0
0.15002400384061448,4.67895,0.35,1.83,400.0,0.8,0
0.15002400384061448,4.95263,0.35,1.83,400.0,0.8,0
0.15002400384061448,5.22632,0.35,1.83,400.0,0.8,0
0.15002400384061448,5.5,0.35,1.83,400.0,0.8,0
